"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"1_10800",978,979,109.324626370784,0.01,0,0,0,0
"1_10983",799,800,46.7362919442857,0.6,0,0,0,0
"1_16592",1828,1829,149.135438999969,0.01,0,0,0,0
"1_16714",1330,1331,93.2317494992508,0.01,0,0,0,0
"1_16714",1330,1383,426.630827101228,0.01,0,0,0,0
"1_16714",1382,1331,498.70691391379,0.01,0,0,0,0
"1_16714",1382,1383,21.4705586615518,0.01,0,0,0,0
"1_18483",29,30,224.969046433661,0.01,0,0,0,0
"1_19781",1778,1779,115.385268547686,0.01,0,0,0,0
"1_19781",1676,1779,278.053501915612,0.01,0,0,0,0
"1_22223",519,520,92.8095551466698,0.01,0,0,0,0
"1_23702",1620,1621,43.6740725249288,0.01,0,0,0,0
"1_26829",1489,1490,25.83513678046,0.01,0,0,0,0
"1_26829",1639,1490,149.608425166666,0.01,0,0,0,0
"1_30414",236,237,43.6265364438137,0.01,0,0,0,0
"1_3085",1072,1073,75.7790056351565,0.01,0,0,0,0
"1_32230",663,664,126.622181782427,0.01,0,0,0,0
"1_32231",696,697,195.855621134787,0.01,0,0,0,0
"1_32232",98,99,99.6494777476609,0.01,0,0,0,0
"1_3252",1374,1375,46.9454140034504,0.01,0,0,0,0
"1_36636",1626,1627,42.3504572307674,0.01,0,0,0,0
"1_41245",104,105,45.7388316099714,0.01,0,0,0,0
"1_44701",388,389,48.098252659652,0.01,0,0,0,0
"1_4955",84,85,50.9141751021925,0.01,0,0,0,0
"1_4964",275,276,26.8210846416017,0.01,0,0,0,0
"1_52539",1386,1387,53.1948367976368,0.01,0,0,0,0
"1_53720",528,529,82.8845937001297,0.01,0,0,0,0
"1_53720",528,906,75.5140339012532,0.01,0,0,0,0
"1_53720",905,529,190.693854195016,0.01,0,0,0,0
"1_53720",905,906,33.2275980109659,0.01,0,0,0,0
"1_55355",557,1638,249.461293126318,0.01,0,0,0,0
"1_55355",557,558,54.0603925899781,0.01,0,0,0,0
"1_55355",1637,1638,204.29368846162,0.01,0,0,0,0
"1_55355",1637,558,507.624710651163,0.01,0,0,0,0
"1_55357",805,806,41.4453117801062,0.01,0,0,0,0
"1_6456",1571,1572,93.7808187275168,0.01,0,0,0,0
"1_7848",914,915,0.056907763502265,0.01,0,0,0,0
"1_8464",130,131,71.6364400245575,0.01,0,0,0,0
"1_8466",1354,1355,120.704299506121,0.01,0,0,0,0
"1_8520",293,294,148.650799335786,0.01,0,0,0,0
"1_8521",1837,1838,109.377768588724,0.01,0,0,0,0
"10_19052",1458,1459,181.988028505083,0.01,0,0,0,0
"10_26829",1498,1499,18.4035613690789,0.01,0,0,0,0
"10_26830",687,688,43.9422544045306,0.01,0,0,0,0
"10_26830",754,688,188.417837450064,0.01,0,0,0,0
"10_37737",1277,1278,21.0462753996849,0.01,0,0,0,0
"10_39450",933,661,352.267047640174,0.01,0,0,0,0
"10_44700",1648,11,104.973727645181,0.01,0,0,0,0
"10_44700",1648,1649,24.2314031116952,0.01,0,0,0,0
"10_54342",1617,1618,57.8962913466544,0.01,0,0,0,0
"10_8465",139,140,4.40204235576894,0.01,0,0,0,0
"11_19052",1459,1460,187.198957143263,0.01,0,0,0,0
"11_26829",1499,1500,27.4199641370362,0.01,0,0,0,0
"11_26830",688,689,114.05831556948,0.01,0,0,0,0
"11_37737",1278,1279,10.5567443823732,0.01,0,0,0,0
"11_40246",1581,1582,8.82767526824408,0.01,0,0,0,0
"11_43022",28,304,399.139219192801,0.01,0,0,0,0
"11_44700",1649,1650,17.9409493797401,0.01,0,0,0,0
"11_44700",11,1650,66.3574018224842,0.01,0,0,0,0
"11_47397",1142,1143,165.061776685157,0.01,0,0,0,0
"12_22511",141,142,13.1378865127501,0.01,0,0,0,0
"12_26829",1500,1501,27.4152428394001,0.01,0,0,0,0
"12_26830",689,690,35.9843358798736,0.01,0,0,0,0
"12_3253",1090,1091,14.0739432182245,0.01,0,0,0,0
"12_44700",1650,13,77.2758956705982,0.01,0,0,0,0
"12_44700",1650,1651,20.2132421323455,0.01,0,0,0,0
"12_46907",399,400,37.9774990101231,0.01,0,0,0,0
"13_11116",819,820,80.1507003462715,0.01,0,0,0,0
"13_18463",413,414,15.0750503790156,0.01,0,0,0,0
"13_22511",142,143,23.8590077347753,0.01,0,0,0,0
"13_26829",1501,1502,23.6767567679299,0.01,0,0,0,0
"13_27832",1461,1462,16.0661486984956,0.01,0,0,0,0
"13_3253",1091,1092,4.53196087705278,0.01,0,0,0,0
"13_35481",1688,1689,10.6879560991746,0.01,0,0,0,0
"13_44700",13,1652,34.5984802584838,0.01,0,0,0,0
"13_44700",1651,1652,27.4204909373612,0.01,0,0,0,0
"13_4524",708,709,189.440096471123,0.01,0,0,0,0
"13_47398",1144,1145,88.421114111776,0.01,0,0,0,0
"13_51798",287,288,57.6621600921069,0.01,0,0,0,0
"14_26829",1502,1503,24.3838065686072,0.01,0,0,0,0
"14_42767",1306,1307,34.5969779635211,0.01,0,0,0,0
"14_44862",997,998,2.74084207907876,0.01,0,0,0,0
"14_53736",1281,1282,13.6734411419111,0.01,0,0,0,0
"15_16613",1669,1670,2.30714368110212,0.01,0,0,0,0
"15_26829",1503,1504,13.2001232819077,0.01,0,0,0,0
"15_42767",1307,1308,31.0920696792994,0.01,0,0,0,0
"15_53736",1282,1283,19.1503307488821,0.01,0,0,0,0
"15_6570",1585,1586,86.2531872340406,0.01,0,0,0,0
"15_7301",489,490,65.8521517963677,0.01,0,0,0,0
"16_11116",822,823,131.364039338615,0.01,0,0,0,0
"16_26829",1504,1505,36.0632748148317,0.01,0,0,0,0
"16_3086",693,694,128.220928761085,0.01,0,0,0,0
"16_31691",1014,1015,83.6103285844646,0.48,0,0,0,0
"16_3208",16,17,38.4895760451971,0.01,0,0,0,0
"16_42767",1308,1309,22.2555327253573,0.01,0,0,0,0
"17_26829",1505,1506,215.726524000934,0.01,0,0,0,0
"17_27833",146,147,60.4229829351189,0.01,0,0,0,0
"17_42767",1309,1310,21.5723091228042,0.01,0,0,0,0
"17_43021",120,121,42.1663437137997,0.01,0,0,0,0
"17_45687",1148,1149,8.25243761833631,0.01,0,0,0,0
"18_27833",147,148,7.80888075863406,0.01,0,0,0,0
"18_3254",1797,1798,109.272569100509,0.01,0,0,0,0
"18_42767",1310,1311,21.5546739684533,0.01,0,0,0,0
"18_43021",121,122,40.6567240920428,0.01,0,0,0,0
"18_45152",1096,1097,32.87110821514,0.01,0,0,0,0
"18_49512",824,825,43.7265493701229,0.01,0,0,0,0
"19_22317",1673,1674,63.8606988195789,0.01,0,0,0,0
"19_32658",575,576,26.2877057649514,0.01,0,0,0,0
"19_42767",1311,1312,22.0997424022205,0.01,0,0,0,0
"19_43021",122,123,48.5854758912157,0.01,0,0,0,0
"19_45152",1097,1098,77.2844405013094,0.01,0,0,0,0
"19_45681",1467,1468,16.8426645464747,0.01,0,0,0,0
"19_53715",1507,1508,11.4282476005325,0.01,0,0,0,0
"19_5616",1589,1590,160.256775879718,0.01,0,0,0,0
"2_10801",1000,1001,41.5322010237529,0.01,0,0,0,0
"2_16592",1829,1830,19.4536539778755,0.01,0,0,0,0
"2_16714",1331,1332,179.574317913699,0.01,0,0,0,0
"2_16714",1383,1332,340.450669412022,0.01,0,0,0,0
"2_26829",1490,1491,29.2586511622881,0.01,0,0,0,0
"2_26829",1490,1641,100.850096009633,0.01,0,0,0,0
"2_27493",943,944,26.775361569639,0.01,0,0,0,0
"2_29279",1781,1782,40.5682549674023,0.01,0,0,0,0
"2_29904",808,809,90.7997102633801,0.01,0,0,0,0
"2_30414",237,238,72.9014087349481,0.01,0,0,0,0
"2_32231",697,698,64.4200804617072,0.01,0,0,0,0
"2_3252",1375,1376,96.0488894815489,0.01,0,0,0,0
"2_34920",1450,1451,28.4924053551176,0.01,0,0,0,0
"2_35766",1656,100,143.040380612397,0.01,0,0,0,0
"2_41245",105,106,24.1420068413783,0.01,0,0,0,0
"2_41245",105,907,580.968248394341,0.01,0,0,0,0
"2_44701",389,390,40.6790910778977,0.01,0,0,0,0
"2_52539",1387,1388,39.2980215433028,0.01,0,0,0,0
"2_53720",906,530,202.542655630566,0.01,0,0,0,0
"2_53720",529,530,45.0318309356256,0.01,0,0,0,0
"2_55355",558,559,46.0982014671593,0.01,0,0,0,0
"2_55355",1638,559,349.360628525065,0.01,0,0,0,0
"2_6284",1133,1134,2.02862654239133,0.01,0,0,0,0
"2_6456",1572,1573,185.162057895405,0.01,0,0,0,0
"20_27587",1287,1288,24.8006793393592,0.01,0,0,0,0
"20_42157",149,150,81.4604558305239,0.01,0,0,0,0
"20_42767",1312,1313,22.3790060965675,0.01,0,0,0,0
"20_43021",123,124,47.6361529473335,0.01,0,0,0,0
"20_53715",1508,1509,15.8588460238864,0.01,0,0,0,0
"20_5616",1590,1591,92.3222376915779,0.01,0,0,0,0
"21_16714",1350,1351,43.8133556143902,0.01,0,0,0,0
"21_20658",1469,1470,54.3888343929895,0.01,0,0,0,0
"21_27587",1288,1289,29.8169364154941,0.01,0,0,0,0
"21_36437",313,314,4.8949984283182,0.01,0,0,0,0
"21_42157",150,151,108.909348484977,0.01,0,0,0,0
"21_42767",1313,1314,21.8406109690991,0.01,0,0,0,0
"21_43021",124,125,40.9687545351585,0.01,0,0,0,0
"21_52424",512,513,41.4329298818212,0.01,0,0,0,0
"21_53715",1509,1510,20.1715810625233,0.01,0,0,0,0
"21_5616",1591,1592,17.6612637993692,0.01,0,0,0,0
"22_20658",1470,1471,29.6442864009523,0.01,0,0,0,0
"22_27587",1289,1290,28.3838561388543,0.01,0,0,0,0
"22_35765",549,514,49.2877064484391,0.01,0,0,0,0
