"subc","nodes","x_coord","y_coord"
NA,1,-157.755945131463,21.299266330177
NA,2,-157.75609594777,21.2993166166686
NA,3,-157.756094233662,21.2992663751431
NA,4,-157.756094233662,21.2992663751431
NA,5,-157.756074426993,21.2986858025078
NA,6,-157.756074426993,21.2986858025078
NA,7,-157.756074057372,21.2986749629792
NA,8,-157.756137104344,21.2986803741999
NA,9,-157.756062748397,21.2985745806524
NA,10,-157.756043796084,21.2984706037354
NA,11,-157.749251952316,21.2847330664779
NA,12,-157.749270865058,21.2846976502764
NA,13,-157.749270865058,21.2846976502764
NA,14,-157.749276780799,21.2846639877529
NA,15,-157.749276780799,21.2846639877529
NA,16,-157.756862443547,21.282457515502
NA,17,-157.756835442302,21.2823553399271
4,18,-157.754474286659,21.2967104569221
4,19,-157.754474286659,21.2967104569221
4,20,-157.755068455245,21.2966981766796
4,21,-157.755068455245,21.2966981766796
4,22,-157.755325859201,21.2966415571622
4,23,-157.755325859201,21.2966415571622
4,24,-157.75475504421,21.2966757943525
4,25,-157.75475504421,21.2966757943525
4,26,-157.754937542733,21.2966497562813
4,27,-157.754937542733,21.2966497562813
4,28,-157.755519166676,21.2965342221767
6,29,-157.751829136805,21.2787141738201
6,30,-157.751174405175,21.2787990086674
6,31,-157.751086055777,21.2788359977831
6,32,-157.751086055777,21.2788359977831
7,33,-157.752313089877,21.292350790057
7,34,-157.752333694245,21.2921057499804
7,35,-157.752417641461,21.2921856862205
7,36,-157.752417641461,21.2921856862205
7,37,-157.752417641461,21.2921856862205
7,38,-157.752595381672,21.2930449992274
7,39,-157.752464721869,21.2921367208331
7,40,-157.752553061375,21.2924441207996
7,41,-157.752553061375,21.2924441207996
7,42,-157.752553061375,21.2924441207996
7,43,-157.752683917229,21.2930164610409
7,44,-157.752683917229,21.2930164610409
7,45,-157.75272847414,21.2927202270569
7,46,-157.752900786942,21.2930926803829
7,47,-157.752900786942,21.2930926803829
7,48,-157.752746236649,21.292637624327
7,49,-157.752746236649,21.292637624327
7,50,-157.752746236649,21.292637624327
7,51,-157.752812618308,21.2926817684489
7,52,-157.752812618308,21.2926817684489
7,53,-157.752812618308,21.2926817684489
7,54,-157.753042805181,21.2931391087829
7,55,-157.752790969827,21.2924548389198
7,56,-157.753088443976,21.2931290004031
7,57,-157.753026237871,21.2927260447712
7,58,-157.753026237871,21.2927260447712
7,59,-157.753258921262,21.2927874261988
7,60,-157.753258921262,21.2927874261988
7,61,-157.753318345765,21.2928784241
7,62,-157.753330425459,21.292843685088
7,63,-157.753344439594,21.2928723509783
7,64,-157.753344439594,21.2928723509783
7,65,-157.753517309077,21.2928321171086
7,66,-157.753826985227,21.2929078445214
7,67,-157.753903467171,21.2929151254327
7,68,-157.754010529662,21.2929332045038
7,69,-157.754106112307,21.2929548502862
7,70,-157.755376604347,21.2930208587257
7,71,-157.755376604347,21.2930208587257
7,72,-157.754201664375,21.2929944195569
7,73,-157.755310796456,21.293017542026
7,74,-157.755268724372,21.2930174808721
7,75,-157.754297193061,21.2930483258197
7,76,-157.754862960157,21.2932247907915
7,77,-157.754862960157,21.2932247907915
7,78,-157.754377399098,21.2931165483901
7,79,-157.754694630453,21.2932496363617
7,80,-157.754694630453,21.2932496363617
7,81,-157.754621960735,21.293249531141
7,82,-157.754438505333,21.2931704042908
7,83,-157.754530209202,21.2932243060569
8,84,-157.756603970297,21.2880295305384
8,85,-157.756495808834,21.2879385497243
8,86,-157.756495808834,21.2879385497243
8,87,-157.756100275307,21.2880014608987
8,88,-157.756036338906,21.2880119622823
8,89,-157.756036338906,21.2880119622823
8,90,-157.756034297445,21.2880003133638
8,91,-157.756015369414,21.2878819976561
8,92,-157.755992576096,21.2877887685369
8,93,-157.755950647005,21.2877026800347
8,94,-157.755961775216,21.2876059192778
8,95,-157.755906238482,21.2876352137941
8,96,-157.755906238482,21.2876352137941
8,97,-157.755901052092,21.2876273339344
9,98,-157.757361268708,21.2962815990167
9,99,-157.757324874044,21.2960118329798
9,100,-157.757324874044,21.2960118329798
9,101,-157.757324874044,21.2960118329798
9,102,-157.757321461117,21.2959865395472
9,103,-157.757321461117,21.2959865395472
10,104,-157.757148403676,21.2935444008535
10,105,-157.757113771683,21.293665363266
10,106,-157.75708139519,21.2937238057091
10,107,-157.757055411078,21.2938205772579
10,108,-157.757039779063,21.2937838876164
10,109,-157.757039779063,21.2937838876164
10,110,-157.757039779063,21.2937838876164
10,111,-157.756882422885,21.2937385294097
10,112,-157.756882422885,21.2937385294097
10,113,-157.756687912117,21.2936837894754
10,114,-157.756687912117,21.2936837894754
