"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
"1_1","Trapezoidal",30,10,1,1,1,0
"1_10","Trapezoidal",30,10,1,1,1,0
"1_11","Trapezoidal",30,10,1,1,1,0
"1_12","Trapezoidal",30,10,1,1,1,0
"1_13","Trapezoidal",30,10,1,1,1,0
"1_14","Trapezoidal",30,10,1,1,1,0
"1_15","Trapezoidal",30,10,1,1,1,0
"1_16","Trapezoidal",30,10,1,1,1,0
"1_17","Trapezoidal",30,10,1,1,1,0
"1_18","Trapezoidal",30,10,1,1,1,0
"1_19","Trapezoidal",30,10,1,1,1,0
"1_2","Trapezoidal",30,10,1,1,1,0
"1_20","Trapezoidal",30,10,1,1,1,0
"1_21","Trapezoidal",30,10,1,1,1,0
"1_22","Trapezoidal",30,10,1,1,1,0
"1_23","Trapezoidal",30,10,1,1,1,0
"1_24","Trapezoidal",30,10,1,1,1,0
"1_25","Trapezoidal",30,10,1,1,1,0
"1_26","Trapezoidal",30,10,1,1,1,0
"1_27","Trapezoidal",30,10,1,1,1,0
"1_28","Trapezoidal",30,10,1,1,1,0
"1_29","Trapezoidal",30,10,1,1,1,0
"1_3","Trapezoidal",30,10,1,1,1,0
"1_30","Trapezoidal",30,10,1,1,1,0
"1_31","Trapezoidal",30,10,1,1,1,0
"1_32","Trapezoidal",30,10,1,1,1,0
"1_33","Trapezoidal",30,10,1,1,1,0
"1_34","Trapezoidal",30,10,1,1,1,0
"1_35","Trapezoidal",30,10,1,1,1,0
"1_36","Trapezoidal",30,10,1,1,1,0
"1_37","Trapezoidal",30,10,1,1,1,0
"1_38","Trapezoidal",30,10,1,1,1,0
"1_39","Trapezoidal",30,10,1,1,1,0
"1_4","Trapezoidal",30,10,1,1,1,0
"1_40","Trapezoidal",30,10,1,1,1,0
"1_41","Trapezoidal",30,10,1,1,1,0
"1_42","Trapezoidal",30,10,1,1,1,0
"1_43","Trapezoidal",30,10,1,1,1,0
"1_44","Trapezoidal",30,10,1,1,1,0
"1_45","Trapezoidal",30,10,1,1,1,0
"1_46","Trapezoidal",30,10,1,1,1,0
"1_47","Trapezoidal",30,10,1,1,1,0
"1_48","Trapezoidal",30,10,1,1,1,0
"1_49","Trapezoidal",30,10,1,1,1,0
"1_5","Trapezoidal",30,10,1,1,1,0
