"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
"1_10983","CIRCULAR","18",0,0,0,NA,0
"1_18483","CIRCULAR","18",0,0,0,NA,0
"1_22223","CIRCULAR","48",0,0,0,NA,0
"1_23702","CIRCULAR","18",0,0,0,NA,0
"1_3085","CIRCULAR","18",0,0,0,NA,0
"1_36636","CIRCULAR","18",0,0,0,NA,0
"1_4955","CIRCULAR","18",0,0,0,NA,0
"1_4964","CIRCULAR","18",0,0,0,NA,0
"1_52539","CIRCULAR","18",0,0,0,NA,0
"1_6456","CIRCULAR","18",0,0,0,NA,0
"1_7848","CIRCULAR","12",0,0,0,NA,0
"1_8464","CIRCULAR","18",0,0,0,NA,0
"1_8466","CIRCULAR","18",0,0,0,NA,0
"1_8520","CIRCULAR","18",0,0,0,NA,0
"1_8521","CIRCULAR","18",0,0,0,NA,0
"10_19052","CIRCULAR","18",0,0,0,NA,0
"10_37737","CIRCULAR","54",0,0,0,NA,0
"10_54342","CIRCULAR","18",0,0,0,NA,0
"10_8465","CIRCULAR","18",0,0,0,NA,0
"11_19052","CIRCULAR","18",0,0,0,NA,0
"11_37737","CIRCULAR","54",0,0,0,NA,0
"11_40246","CIRCULAR","18",0,0,0,NA,0
"11_47397","CIRCULAR","24",0,0,0,NA,0
"12_22511","CIRCULAR","18",0,0,0,NA,0
"12_3253","CIRCULAR","18",0,0,0,NA,0
"12_46907","CIRCULAR","18",0,0,0,NA,0
"13_18463","CIRCULAR","23",0,0,0,NA,0
"13_22511","CIRCULAR","18",0,0,0,NA,0
"13_27832","CIRCULAR","18",0,0,0,NA,0
"13_3253","CIRCULAR","18",0,0,0,NA,0
"13_35481","CIRCULAR","18",0,0,0,NA,0
"13_4524","CIRCULAR","24",0,0,0,NA,0
"13_47398","CIRCULAR","30",0,0,0,NA,0
"14_42767","CIRCULAR","60",0,0,0,NA,0
"14_44862","CIRCULAR","24",0,0,0,NA,0
"14_53736","CIRCULAR","60",0,0,0,NA,0
"15_42767","CIRCULAR","60",0,0,0,NA,0
"15_53736","CIRCULAR","60",0,0,0,NA,0
"15_6570","CIRCULAR","24",0,0,0,NA,0
"15_7301","CIRCULAR","48",0,0,0,NA,0
"16_3086","CIRCULAR","18",0,0,0,NA,0
"16_31691","CIRCULAR","24",0,0,0,NA,0
"16_3208","CIRCULAR","18",0,0,0,NA,0
"16_42767","CIRCULAR","60",0,0,0,NA,0
"17_27833","CIRCULAR","24",0,0,0,NA,0
"17_42767","CIRCULAR","60",0,0,0,NA,0
"17_45687","CIRCULAR","18",0,0,0,NA,0
"18_27833","CIRCULAR","24",0,0,0,NA,0
"18_3254","CIRCULAR","30",0,0,0,NA,0
"18_42767","CIRCULAR","60",0,0,0,NA,0
"18_45152","CIRCULAR","18",0,0,0,NA,0
"19_22317","CIRCULAR","30",0,0,0,NA,0
"19_32658","CIRCULAR","18",0,0,0,NA,0
"19_42767","CIRCULAR","60",0,0,0,NA,0
"19_45152","CIRCULAR","18",0,0,0,NA,0
"19_45681","CIRCULAR","23",0,0,0,NA,0
"19_5616","CIRCULAR","24",0,0,0,NA,0
"2_27493","CIRCULAR","18",0,0,0,NA,0
"2_29279","CIRCULAR","24",0,0,0,NA,0
"2_34920","CIRCULAR","23",0,0,0,NA,0
"2_52539","CIRCULAR","18",0,0,0,NA,0
"2_6284","CIRCULAR","24",0,0,0,NA,0
"2_6456","CIRCULAR","18",0,0,0,NA,0
"20_27587","CIRCULAR","60",0,0,0,NA,0
"20_42157","CIRCULAR","24",0,0,0,NA,0
"20_42767","CIRCULAR","60",0,0,0,NA,0
"20_5616","CIRCULAR","24",0,0,0,NA,0
"21_20658","CIRCULAR","18",0,0,0,NA,0
"21_27587","CIRCULAR","60",0,0,0,NA,0
"21_36437","CIRCULAR","24",0,0,0,NA,0
"21_42157","CIRCULAR","24",0,0,0,NA,0
"21_42767","CIRCULAR","60",0,0,0,NA,0
"21_52424","CIRCULAR","36",0,0,0,NA,0
"21_5616","CIRCULAR","24",0,0,0,NA,0
"22_20658","CIRCULAR","18",0,0,0,NA,0
"22_27587","CIRCULAR","60",0,0,0,NA,0
"22_42767","CIRCULAR","60",0,0,0,NA,0
"23_20657","CIRCULAR","18",0,0,0,NA,0
"23_27587","CIRCULAR","60",0,0,0,NA,0
"23_34774","CIRCULAR","36",0,0,0,NA,0
"23_42767","CIRCULAR","60",0,0,0,NA,0
"23_5617","CIRCULAR","30",0,0,0,NA,0
"24_20659","CIRCULAR","18",0,0,0,NA,0
"24_27587","CIRCULAR","60",0,0,0,NA,0
"24_42767","CIRCULAR","60",0,0,0,NA,0
"24_5617","CIRCULAR","30",0,0,0,NA,0
"25_31268","CIRCULAR","18",0,0,0,NA,0
"25_42767","CIRCULAR","60",0,0,0,NA,0
"26_31268","CIRCULAR","18",0,0,0,NA,0
"26_38331","CIRCULAR","18",0,0,0,NA,0
"26_42767","CIRCULAR","60",0,0,0,NA,0
"27_42767","CIRCULAR","60",0,0,0,NA,0
