"Name","Nodes2","Nodes1","Length","Roughness","InOffset","OutOffset","InitFlow","MaxFlow"
3002,18959,2648,0,0.01,0,0,0,0
3003,10580,18959,0,0.01,0,0,0,0
3004,27272,29986,0,0.01,0,0,0,0
3005,35589,33692,0,0.01,0,0,0,0
3013,13293,32776,0,0.01,0,0,0,0
3014,32776,25419,0,0.01,0,0,0,0
3015,52082,41030,0,0.01,0,0,0,0
3084,23544,24472,0,0.01,0,0,0,0
3085,2638,51140,0,0.01,0,0,0,0
3086,24473,39236,0,0.01,0,0,0,0
3087,41073,24472,0,0.01,0,0,0,0
3088,32786,56640,0,0.01,0,0,0,0
3089,45641,58483,0,0.01,0,0,0,0
3090,2650,35589,0,0.01,0,0,0,0
3104,55705,2205,0,0.01,0,0,0,0
3105,48342,25353,0,0.01,0,0,0,0
3124,57628,46621,0,0.01,0,0,0,0
3125,3225,40222,0,0.01,0,0,0,0
3163,44719,42912,0,0.01,0,0,0,0
3164,14269,44719,0,0.01,0,0,0,0
3175,2646,2645,0,0.01,0,0,0,0
3176,45639,15190,0,0.01,0,0,0,0
3177,51141,47476,0,0.01,0,0,0,0
3178,2647,27272,0,0.01,0,0,0,0
3200,55703,9558,0,0.01,0,0,0,0
3201,30879,2196,0,0.01,0,0,0,0
3202,8634,30880,0,0.01,0,0,0,0
3203,30880,52989,0,0.01,0,0,0,0
3204,31846,18889,0,0.01,0,0,0,0
3205,20751,45579,0,0.01,0,0,0,0
3206,45579,18890,0,0.01,0,0,0,0
3207,45579,49223,0,0.01,0,0,0,0
3208,49223,52075,0,0.01,0,0,0,0
3209,43755,44656,0,0.01,0,0,0,0
3250,38313,29975,0,0.01,0,0,0,0
3251,41959,29077,0,0.01,0,0,0,0
3253,41914,2199,0,0.01,0,0,0,0
3254,46468,57492,0,0.01,0,0,0,0
3324,2295,28162,0,0.01,0,0,0,0
3325,20765,2295,0,0.01,0,0,0,0
3327,45589,20765,0,0.01,0,0,0,0
3363,33681,38314,0,0.01,0,0,0,0
3375,54757,2206,0,0.01,0,0,0,0
3376,2206,20750,0,0.01,0,0,0,0
3485,36507,29977,0,0.01,0,0,0,0
3486,16125,14258,0,0.01,0,0,0,0
3510,21693,39224,0,0.01,0,0,0,0
3511,29973,33679,0,0.01,0,0,0,0
3512,34620,29073,0,0.01,0,0,0,0
3513,50231,50230,0,0.01,0,0,0,0
3514,9611,34621,0,0.01,0,0,0,0
3515,50233,38314,0,0.01,0,0,0,0
3516,52129,26353,0,0.01,0,0,0,0
3517,57545,38313,0,0.01,0,0,0,0
3518,23529,56628,0,0.01,0,0,0,0
3519,56628,40134,0,0.01,0,0,0,0
3540,48404,30947,0,0.01,0,0,0,0
3547,28162,41976,0,0.01,0,0,0,0
3822,41060,48394,0,0.01,0,0,0,0
3823,48395,34619,0,0.01,0,0,0,0
3824,50229,48395,0,0.01,0,0,0,0
3911,50186,12438,0,0.01,0,0,0,0
4175,NA,1956,0,0.01,0,0,0,0
4178,27266,12374,0,0.01,0,0,0,0
4179,35579,2571,0,0.01,0,0,0,0
4325,42095,38329,0,0.01,0,0,0,0
4326,22618,10579,0,0.01,0,0,0,0
4327,38329,40145,0,0.01,0,0,0,0
4329,14268,33693,0,0.01,0,0,0,0
4330,50249,32786,0,0.01,0,0,0,0
4331,22621,14270,0,0.01,0,0,0,0
4478,50234,50235,0,0.01,0,0,0,0
4479,50235,38314,0,0.01,0,0,0,0
4506,2575,10570,0,0.01,0,0,0,0
4507,29976,2575,0,0.01,0,0,0,0
4508,47469,29976,0,0.01,0,0,0,0
4521,11505,22612,0,0.01,0,0,0,0
4522,42904,11505,0,0.01,0,0,0,0
4523,53063,52141,0,0.01,0,0,0,0
4524,52141,13296,0,0.01,0,0,0,0
4525,38326,56638,0,0.01,0,0,0,0
4526,52130,53064,0,0.01,0,0,0,0
4527,53916,30946,0,0.01,0,0,0,0
4632,58563,17146,0,0.01,0,0,0,0
4633,34727,18110,0,0.01,0,0,0,0
4634,24552,43897,0,0.01,0,0,0,0
4651,54803,23530,0,0.01,0,0,0,0
4790,58563,18109,0,0.01,0,0,0,0
4838,27329,10630,0,0.01,0,0,0,0
4849,33750,33758,0,0.01,0,0,0,0
4951,32778,29079,0,0.01,0,0,0,0
4952,55758,8685,0,0.01,0,0,0,0
4953,29977,8684,0,0.01,0,0,0,0
4954,29977,53052,0,0.01,0,0,0,0
4955,28152,29080,0,0.01,0,0,0,0
4956,19880,45638,0,0.01,0,0,0,0
4957,2635,54815,0,0.01,0,0,0,0
4958,36514,25430,0,0.01,0,0,0,0
4959,35588,20806,0,0.01,0,0,0,0
4963,41960,7715,0,0.01,0,0,0,0
4964,58475,27267,0,0.01,0,0,0,0
4965,22610,58475,0,0.01,0,0,0,0
4966,7716,23530,0,0.01,0,0,0,0
5074,2566,38312,0,0.01,0,0,0,0
5075,14256,2569,0,0.01,0,0,0,0
5076,50232,41954,0,0.01,0,0,0,0
5205,9612,52128,0,0.01,0,0,0,0
5206,49272,46514,0,0.01,0,0,0,0
5207,29074,35579,0,0.01,0,0,0,0
5208,35579,2570,0,0.01,0,0,0,0
5209,51129,35579,0,0.01,0,0,0,0
5210,26352,33680,0,0.01,0,0,0,0
5211,26352,13294,0,0.01,0,0,0,0
5459,22555,21638,0,0.01,0,0,0,0
5460,22555,2201,0,0.01,0,0,0,0
5461,7660,14200,0,0.01,0,0,0,0
5462,14200,26301,0,0.01,0,0,0,0
5463,2202,44655,0,0.01,0,0,0,0
5464,43754,55704,0,0.01,0,0,0,0
5470,2648,45640,0,0.01,0,0,0,0
5601,22620,24474,0,0.01,0,0,0,0
5602,31903,20807,0,0.01,0,0,0,0
5616,23482,2284,0,0.01,0,0,0,0
5617,50186,2284,0,0.01,0,0,0,0
5806,23546,13306,0,0.01,0,0,0,0
5811,2287,55718,0,0.01,0,0,0,0
5831,36606,46619,0,0.01,0,0,0,0
5832,3112,23611,0,0.01,0,0,0,0
5833,3112,43875,0,0.01,0,0,0,0
5834,47528,55820,0,0.01,0,0,0,0
5835,53122,27328,0,0.01,0,0,0,0
5836,24527,53122,0,0.01,0,0,0,0
5837,3105,14326,0,0.01,0,0,0,0
5862,34711,16194,0,0.01,0,0,0,0
5863,32855,34710,0,0.01,0,0,0,0
5864,58547,55838,0,0.01,0,0,0,0
5865,26436,48465,0,0.01,0,0,0,0
5881,35643,28215,0,0.01,0,0,0,0
5882,13349,35643,0,0.01,0,0,0,0
5883,46591,19013,0,0.01,0,0,0,0
5884,10630,31958,0,0.01,0,0,0,0
6226,18902,51090,0,0.01,0,0,0,0
6227,2289,2290,0,0.01,0,0,0,0
6228,NA,2291,0,0.01,0,0,0,0
6229,2292,16082,0,0.01,0,0,0,0
6270,16091,57518,0,0.01,0,0,0,0
6284,NA,11561,0,0.01,0,0,0,0
6285,41136,11561,0,0.01,0,0,0,0
6286,25491,55819,0,0.01,0,0,0,0
6327,16198,18100,0,0.01,0,0,0,0
6328,42998,44795,0,0.01,0,0,0,0
6329,17145,26446,0,0.01,0,0,0,0
6456,NA,35543,0,0.01,0,0,0,0
6457,46478,17008,0,0.01,0,0,0,0
6458,25370,48347,0,0.01,0,0,0,0
6459,31010,2283,0,0.01,0,0,0,0
6460,2293,2290,0,0.01,0,0,0,0
6461,55719,30891,0,0.01,0,0,0,0
6463,16083,2303,0,0.01,0,0,0,0
6568,35544,2281,0,0.01,0,0,0,0
6569,55717,30890,0,0.01,0,0,0,0
6570,58433,23482,0,0.01,0,0,0,0
6596,19954,46590,0,0.01,0,0,0,0
6597,19954,43873,0,0.01,0,0,0,0
6605,28217,27331,0,0.01,0,0,0,0
6606,7795,9678,0,0.01,0,0,0,0
6607,57622,53977,0,0.01,0,0,0,0
6608,50322,57622,0,0.01,0,0,0,0
6609,15269,29155,0,0.01,0,0,0,0
6610,19965,15269,0,0.01,0,0,0,0
6951,20773,42866,0,0.01,0,0,0,0
6952,42866,12348,0,0.01,0,0,0,0
6961,35543,58433,0,0.01,0,0,0,0
7162,30092,30093,0,0.01,0,0,0,0
7163,30092,3488,0,0.01,0,0,0,0
7166,19981,38411,0,0.01,0,0,0,0
7206,15276,3226,0,0.01,0,0,0,0
7207,15276,18108,0,0.01,0,0,0,0
7208,20880,56722,0,0.01,0,0,0,0
7297,27354,33771,0,0.01,0,0,0,0
7298,21774,27354,0,0.01,0,0,0,0
7299,16236,49390,0,0.01,0,0,0,0
7300,32005,20910,0,0.01,0,0,0,0
7301,38430,32005,0,0.01,0,0,0,0
7784,18110,3224,0,0.01,0,0,0,0
7785,52221,39313,0,0.01,0,0,0,0
7848,2856,54877,0,0.01,0,0,0,0
7849,16195,24542,0,0.01,0,0,0,0
8294,57649,32006,0,0.01,0,0,0,0
8461,2209,35529,0,0.01,0,0,0,0
8462,25354,21641,0,0.01,0,0,0,0
8463,42844,30882,0,0.01,0,0,0,0
8464,31849,19820,0,0.01,0,0,0,0
8465,56574,31849,0,0.01,0,0,0,0
8466,43756,49223,0,0.01,0,0,0,0
8467,2278,43765,0,0.01,0,0,0,0
8468,2279,36457,0,0.01,0,0,0,0
8469,58432,30889,0,0.01,0,0,0,0
8470,46477,35542,0,0.01,0,0,0,0
8520,3120,46595,0,0.01,0,0,0,0
8521,7802,7803,0,0.01,0,0,0,0
8522,53132,7802,0,0.01,0,0,0,0
8523,14341,53132,0,0.01,0,0,0,0
8524,25499,38395,0,0.01,0,0,0,0
8635,15494,29339,0,0.36,0,0,0,0
10797,57775,48614,0,0.56,0,0,0,0
10798,49508,57775,0,0.26,0,0,0,0
10800,NA,36749,0,0.01,0,0,0,0
10801,NA,48614,0,0.01,0,0,0,0
10825,36751,4420,0,0.05,0,0,0,0
10826,4419,24708,0,1.53,0,0,0,0
10831,43119,24708,0,1.19,0,0,0,0
10832,51375,36751,0,1.54,0,0,0,0
10833,46771,51375,0,1.34,0,0,0,0
10834,11721,46771,0,0.56,0,0,0,0
10835,11720,29295,0,1.08,0,0,0,0
10836,55040,4395,0,1.5,0,0,0,0
10837,4398,55040,0,0.59,0,0,0,0
10983,47745,51447,0,0.6,0,0,0,0
10984,4779,4780,0,0.32,0,0,0,0
10985,55995,26629,0,1.07,0,0,0,0
10986,55993,4778,0,0.66,0,0,0,0
10987,55993,28430,0,1.54,0,0,0,0
10988,47744,9888,0,0.75,0,0,0,0
11113,40419,4419,0,3.5,0,0,0,0
11114,22878,35869,0,0.8,0,0,0,0
11115,NA,40420,0,0.01,0,0,0,0
11481,NA,24708,0,0.01,0,0,0,0
11483,NA,48465,0,0.01,0,0,0,0
11484,NA,45146,0,0.01,0,0,0,0
12496,15181,20265,0,0.01,0,0,0,0
16579,NA,1956,0,0.01,0,0,0,0
16581,NA,1948,0,0.01,0,0,0,0
16582,NA,32431,0,0.01,0,0,0,0
16583,16091,48968,0,0.01,0,0,0,0
16585,24122,51752,0,0.01,0,0,0,0
16586,51752,17669,0,0.01,0,0,0,0
16592,NA,22276,0,0.01,0,0,0,0
16595,55386,21640,0,0.01,0,0,0,0
16598,20750,12084,0,0.01,0,0,0,0
16600,NA,55704,0,0.01,0,0,0,0
16601,NA,40250,0,0.01,0,0,0,0
16603,56639,17671,0,0.01,0,0,0,0
16605,NA,42902,0,0.01,0,0,0,0
16606,3574,33679,0,0.01,0,0,0,0
16610,NA,27818,0,0.01,0,0,0,0
16611,NA,14255,0,0.01,0,0,0,0
16615,NA,10674,0,0.01,0,0,0,0
16712,NA,32006,0,0.01,0,0,0,0
16715,NA,57505,0,0.01,0,0,0,0
17723,54757,2205,0,0.01,0,0,0,0
