"Name","Invert_Elev","MaxDepth","InitDepth","SurDepth","Aponded"
1948,921.687286,0,0,0,0
1956,1020.8785425,0,0,0,0
2196,1005.9296528,9.5,0,0,9.5
2197,1008.4375893,4.5,0,0,4.5
2198,973.8594891,6.9,0,0,6.9
2199,993.0122753,4.2,0,0,4.2
2200,981.5889927,4.4,0,0,4.4
2201,1009.3293587,4.9,0,0,4.9
2202,970.597797,4.4,0,0,4.4
2203,1002.0767647,3.7,0,0,3.7
2204,1001.4480492,3.8,0,0,3.8
2205,1012.4528805,9.3,0,0,9.3
2206,1009.8515602,7.9,0,0,7.9
2207,1011.465633,0,0,0,0
2208,1004.4574677,3.6,0,0,3.6
2209,721.4695126,0,0,0,0
2210,998.8226009,0,0,0,0
2273,1023.6919371,4.4,0,0,4.4
2274,760.6787411,4,0,0,4
2275,1023.559569,4.5,0,0,4.5
2276,1019.8822032,0,0,0,0
2277,1020.4359227,0,0,0,0
2278,1025.1687561,4.3,0,0,4.3
2279,1009.3711086,0,0,0,0
2280,1020.283094,0,0,0,0
2281,1025.7529152,3,0,0,3
2282,1025.4413017,5.4,0,0,5.4
2283,1025.7479441,3.3,0,0,3.3
2284,1022.904147,0,0,0,0
2285,1014.3250567,0,0,0,0
2286,1017.8758083,0,0,0,0
2287,1019.2237826,0,0,0,0
2288,1025.3312672,0,0,0,0
2289,1025.8526513,0,0,0,0
2290,1025.8514662,0,0,0,0
2291,1025.880859,0,0,0,0
2292,1025.8720435,0,0,0,0
2293,1025.868298,0,0,0,0
2294,1025.8687263,0,0,0,0
2295,498.531982,9,0,0,9
2303,881.8221737,0,0,0,0
2561,834.0825497,6.1,0,0,6.1
2562,873.3624111,4.2,0,0,4.2
2563,797.3896786,10.9,0,0,10.9
2564,888.9333187,4,0,0,4
2565,911.7695461,0,0,0,0
2566,904.3969494,0,0,0,0
2567,840.1162106,4.2,0,0,4.2
2568,914.3133236,0,0,0,0
2569,894.0997006,6.9,0,0,6.9
2570,935.4329907,5,0,0,5
2571,931.2266918,4,0,0,4
2572,887.9859158,0,0,0,0
2573,945.5561291,5,0,0,5
2574,942.6946865,5.7,0,0,5.7
2575,925.8878552,0,0,0,0
2576,904.0165707,7.2,0,0,7.2
2577,884.5330349,4.8,0,0,4.8
2634,978.7929951,0,0,0,0
2635,988.5262142,0,0,0,0
2636,983.3718868,3.5,0,0,3.5
2637,993.7881161,0,0,0,0
2638,963.2951237,4.3,0,0,4.3
2639,988.8742634,4.5,0,0,4.5
2640,1004.6629311,0,0,0,0
2641,996.519405,3.9,0,0,3.9
2642,1007.9083515,4.8,0,0,4.8
2643,194.2934567,0,0,0,0
2644,196.6411129,0,0,0,0
2645,223.4179073,0,0,0,0
2646,236.1989742,0,0,0,0
2647,435.7014767,4,0,0,4
2648,304.1402584,0,0,0,0
2649,509.5499874,0,0,0,0
2650,465.2227779,0,0,0,0
2651,470.6231075,7,0,0,7
2653,555.0722652,10,0,0,10
2654,415.3596188,0,0,0,0
2655,407.5706173,0,0,0,0
2656,573.9884945,14,0,0,14
2658,575.7673641,6,0,0,6
2659,644.0899349,0,0,0,0
2660,466.7067867,15,0,0,15
2856,38.7266232000001,0,0,0,0
2866,193.9366451,0,0,0,0
3099,575.2493588,7.4,0,0,7.4
3105,729.5283199,9.6,0,0,9.6
3112,652.8858944,5.9,0,0,5.9
3113,517.9791256,6.6,0,0,6.6
3114,957.2432324,5.6,0,0,5.6
3120,818.1268459,0,0,0,0
3121,850.2147518,0,0,0,0
3224,280.6006466,0,0,0,0
3225,271.9231564,0,0,0,0
3226,246.5052486,0,0,0,0
3227,298.7218624,0,0,0,0
3228,381.1766354,4.6,0,0,4.6
3239,754.9743343,0,0,0,0
3488,763.4047237,0,0,0,0
3489,724.3688046,0,0,0,0
3573,1006.9113709,0,0,0,0
3574,912.3878704,0,0,0,0
4395,412.1974484,0,0,0,0
4396,391.6554562,0,0,0,0
4397,474.1918331,0,0,0,0
4398,454.1404415,0,0,0,0
4399,482.0681149,0,0,0,0
4419,266.1770016,14.2,0,0,14.2
4420,266.5576168,0,0,0,0
4778,137.5143429,11.2,0,0,11.2
4779,33.1748653000001,9,0,0,9
4780,20.9465328000001,4.7,0,0,4.7
5391,789.719833,0,0,0,0
7099,799.1461788,0,0,0,0
7660,994.8144241,4.3,0,0,4.3
7670,1021.0664636,0,0,0,0
7671,1025.4169556,0,0,0,0
7713,839.5657955,8.4,0,0,8.4
7714,891.0837093,0,0,0,0
7715,885.3543392,5,0,0,5
7716,955.0665814,4.3,0,0,4.3
7725,476.8963619,0,0,0,0
7795,772.4619442,0,0,0,0
7802,738.274963,0,0,0,0
7803,715.0886837,0,0,0,0
7806,252.5324703,8.5,0,0,8.5
7807,216.3502804,0,0,0,0
8026,93.9400021000001,0,0,0,0
8634,997.4773289,4.8,0,0,4.8
8635,1000.6970535,3.2,0,0,3.2
8647,718.9010006,0,0,0,0
8648,1025.7679563,3,0,0,3
8649,1015.160647,0,0,0,0
8661,999.0802628,0,0,0,0
