FID,OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID_4,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,SHAPESTLen,Shape_Leng,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Per,FTYPE,FCode,ComID,WbAreaComi,HUC8,DIVERGENCE,STREAMORDE,TOCOMID,CUMDRAINAG,MAFLOWU,MAVELU,TONODE,FROMNODE,OBJECTID_5,MainPath,InNetwork,Visibility,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Le_4,Enabled,Shape_Le_5,ORIG_FID,POINT_X,POINT_Y,POINT_Z,POINT_M,Elevation,subcatch_r
0,2,707,707,710,5460,17825,Reinforced Concrete Pipe,63.513429150000000,18, , ,63.514, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,63.513429153300002,0.000176867881521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000176867881521,0.000176867872185,1,0.000176867872185,0,-157.751738130000007,21.283367976000001,0.000000000000000,nan,48.7173996,91
1,2,707,707,710,5460,17825,Reinforced Concrete Pipe,63.513429150000000,18, , ,63.514, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,63.513429153300002,0.000176867881521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000176867881521,0.000176867872185,1,0.000176867872185,0,-157.751661665000000,21.283208519999999,0.000000000000000,nan,48.7173996,91
2,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.749847998999996,21.321192766999999,0.000000000000000,99.999905999999996,1964.1500244,94
3,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.754623597999995,21.311802701000001,0.000000000000000,-0.000093999999876,891.4489746,94
4,5,5070,5070,5299,47736,37254,Reinforced Concrete Pipe,96.400559770000001,24,1.7,18.8, , , ,0.149000,0.540000,4.400000, , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan,A50=1.6, ,96.400559771100006,0.000274514954234, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000274514954234,0.000274514857158,1,0.000274514857158,2,-157.747069974999988,21.293551142999998,0.000000000000000,nan,923.8389893,42
5,5,5070,5070,5299,47736,37254,Reinforced Concrete Pipe,96.400559770000001,24,1.7,18.8, , , ,0.149000,0.540000,4.400000, , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan,A50=1.6, ,96.400559771100006,0.000274514954234, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000274514954234,0.000274514857158,1,0.000274514857158,2,-157.747271299999994,21.293364524000001,0.000000000000000,nan,923.8389893,42
6,7,579,579,580,4838,24150,Reinforced Concrete Pipe,46.438100740000003,30, , ,30, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,46.438100742300001,0.000129584792897, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000129584792897,0.000129584978963,1,0.000129584978963,3,-157.746454284999999,21.285542283000002,0.000000000000000,nan,365.8829956,63
7,7,579,579,580,4838,24150,Reinforced Concrete Pipe,46.438100740000003,30, , ,30, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,46.438100742300001,0.000129584792897, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000129584792897,0.000129584978963,1,0.000129584978963,3,-157.746393481000013,21.285427849000001,0.000000000000000,nan,365.8829956,63
8,11,5954,5954,6232,56088,21854,Reinforced Concrete Pipe,192.509492370000004,48, , ,180, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,192.509492365000000,0.000556031801290, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000556031801290,0.000556031393768,1,0.000556031393768,4,-157.745974574999991,21.283446500000000,0.000000000000000,nan,256.4549866,67
9,11,5954,5954,6232,56088,21854,Reinforced Concrete Pipe,192.509492370000004,48, , ,180, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,192.509492365000000,0.000556031801290, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000556031801290,0.000556031393768,1,0.000556031393768,4,-157.745491923000003,21.283170424000001,0.000000000000000,nan,256.4549866,67
